PID,Gist_English_by_Sant_Singh
P0025L17,"Siree Raag, First Mehl, Fourth House:"
P0025L18,"You are the River, All-knowing and All-seeing. I am just a fish-how can I find Your limit?"
P0025L19,"Wherever I look, You are there. Outside of You, I would burst and die. ||1||"
P0025L20,"I do not know of the fisherman, and I do not know of the net."
P0025L21,"But when the pain comes, then I call upon You. ||1||Pause||"
P0025L22,You are present everywhere. I had thought that You were far away.
P0025L23,"Whatever I do, I do in Your Presence."
P0025L24,"You see all my actions, and yet I deny them."
P0025L25,"I have not worked for You, or Your Name. ||2||"
P0025L26,"Whatever You give me, that is what I eat."
P0025L27,There is no other door-unto which door should I go?
P0025L28,Nanak offers this one prayer:
P0025L29,This body and soul are totally Yours. ||3||
P0025L30,"He Himself is near, and He Himself is far away; He Himself is in-between."
P0025L31,"He Himself beholds, and He Himself listens. By His Creative Power, He created the world."
P0025L32,"Whatever pleases Him, O Nanak-that Command is acceptable. ||4||31||"
P0025L33,"Siree Raag, First Mehl, Fourth House:"
P0025L34,Why should the created beings feel pride in their minds?
P0025L35,The Gift is in the Hands of the Great Giver.
P0025L36,"As it pleases Him, He may give, or not give."
P0025L37,What can be done by the order of the created beings? ||1||
P0025L38,He Himself is True; Truth is pleasing to His Will.
P0025L39,"The spiritually blind are unripe and imperfect, inferior and worthless. ||1||Pause||"
P0025L40,The One who owns the trees of the forest and the plants of the garden
P0025L41,"According to their nature, He gives them all their names."
P0025L42,The Flower and the Fruit of the Lord's Love are obtained by pre-ordained destiny.
P0025L43,"As we plant, so we harvest and eat. ||2||"
P0025L44,"The wall of the body is temporary, as is the soul-mason within it."
P0025L45,The flavor of the intellect is bland and insipid without the Salt.
P0025L46,"O Nanak, as He wills, He makes things right."
P0025L47,"Without the Name, no one is approved. ||3||32||"
P0025L48,"Siree Raag, First Mehl, Fifth House:"
P0025L49,The Undeceiveable is not deceived by deception. He cannot be wounded by any dagger.
P0025L50,"As our Lord and Master keeps us, so do we exist. The soul of this greedy person is tossed this way and that. ||1||"
P0025L51,"Without the oil, how can the lamp be lit? ||1||Pause||"
P0025L52,"Let the reading of your prayer book be the oil,"
P0025L53,And let the Fear of God be the wick for the lamp of this body.
P0025L54,Light this lamp with the understanding of Truth. ||2||
P0025L55,Use this oil to light this lamp.
P0025L56,"Light it, and meet your Lord and Master. ||1||Pause||"
P0025L57,This body is softened with the Word of the Guru's Bani;
P0025L58,"You shall find peace, doing seva (selfless service)."
P0026L01,All the world continues coming and going in reincarnation. ||3||
P0026L02,"In the midst of this world, do seva,"
P0026L03,And you shall be given a place of honor in the Court of the Lord.
P0026L04,"Says Nanak, swing your arms in joy! ||4||33||"
P0026L05,"Siree Raag, Third Mehl, First House:"
P0026L06,One Universal Creator God. By The Grace Of The True Guru:
P0026L07,"I serve my True Guru with single-minded devotion, and lovingly focus my consciousness on Him."
P0026L08,"The True Guru is the mind's desire and the sacred shrine of pilgrimage, for those unto whom He has given this understanding."
P0026L09,"The blessings of the wishes of the mind are obtained, and the fruits of one's desires."
P0026L10,"Meditate on the Name, worship the Name, and through the Name, you shall be absorbed in intuitive peace and poise. ||1||"
P0026L11,"O my mind, drink in the Sublime Essence of the Lord, and your thirst shall be quenched."
P0026L12,Those Gurmukhs who have tasted it remain intuitively absorbed in the Lord. ||1||Pause||
P0026L13,Those who serve the True Guru obtain the Treasure of the Naam.
P0026L14,"Deep within, they are drenched with the Essence of the Lord, and the egotistical pride of the mind is subdued."
P0026L15,"The heart-lotus blossoms forth, and they intuitively center themselves in meditation."
P0026L16,"Their minds become pure, and they remain immersed in the Lord; they are honored in His Court. ||2||"
P0026L17,Those who serve the True Guru in this world are very rare.
P0026L18,Those who keep the Lord enshrined in their hearts subdue egotism and possessiveness.
P0026L19,I am a sacrifice to those who are in love with the Naam.
P0026L20,Those who attain the Inexhaustible Name of the Infinite Lord remain happy throughout the four ages. ||3||
P0026L21,"Meeting with the Guru, the Naam is obtained, and the thirst of emotional attachment departs."
P0026L22,"When the mind is permeated with the Lord, one remains detached within the home of the heart."
P0026L23,I am a sacrifice to those who enjoy the Sublime Taste of the Lord.
P0026L24,"O Nanak, by His Glance of Grace, the True Name, the Treasure of Excellence, is obtained. ||4||1||34||"
P0026L25,"Siree Raag, Third Mehl:"
P0026L26,"People wear all sorts of costumes and wander all around, but in their hearts and minds, they practice deception."
P0026L27,"They do not attain the Mansion of the Lord's Presence, and after death, they sink into manure. ||1||"
P0026L28,"O mind, remain detached in the midst of your household."
P0026L29,"Practicing truth, self-discipline and good deeds, the Gurmukh is enlightened. ||1||Pause||"
P0026L30,"Through the Word of the Guru's Shabad, the mind is conquered, and one attains the State of Liberation in one's own home."
P0026L31,"So meditate on the Name of the Lord; join and merge with the Sat Sangat, the True Congregation. ||2||"
P0026L32,"You may enjoy the pleasures of hundreds of thousands of women, and rule the nine continents of the world."
P0026L33,"But without the True Guru, you will not find peace; you will be reincarnated over and over again. ||3||"
P0026L34,"Those who wear the Necklace of the Lord around their necks, and focus their consciousness on the Guru's Feet"
P0026L35,"-wealth and supernatural spiritual powers follow them, but they do not care for such things at all. ||4||"
P0026L36,Whatever pleases God's Will comes to pass. Nothing else can be done.
P0026L37,"Servant Nanak lives by chanting the Naam. O Lord, please give it to me, in Your Natural Way. ||5||2||35||"
P0027L01,"Siree Raag, Third Mehl, First House:"
P0027L02,Everyone belongs to the One who rules the Universe.
P0027L03,"The Gurmukh practices good deeds, and the truth is revealed in the heart."
P0027L04,"True is the reputation of the true, within whom truth abides."
P0027L05,Those who meet the True Lord are not separated again; they come to dwell in the home of the self deep within. ||1||
P0027L06,"O my Lord! Without the Lord, I have no other at all."
P0027L07,The True Guru leads us to meet the Immaculate True God through the Word of His Shabad. ||1||Pause||
P0027L08,"One whom the Lord merges into Himself is merged in the Shabad, and remains so merged."
P0027L09,"No one merges with Him through the love of duality; over and over again, they come and go in reincarnation."
P0027L10,The One Lord permeates all. The One Lord is pervading everywhere.
P0027L11,"That Gurmukh, unto whom the Lord shows His Kindness, is absorbed in the Naam, the Name of the Lord. ||2||"
P0027L12,"After all their reading, the Pandits, the religious scholars, and the astrologers argue and debate."
P0027L13,Their intellect and understanding are perverted; they just don't understand. They are filled with greed and corruption.
P0027L14,"Through 8.4 million incarnations they wander lost and confused; through all their wandering and roaming, they are ruined."
P0027L15,"They act according to their pre-ordained destiny, which no one can erase. ||3||"
P0027L16,It is very difficult to serve the True Guru. Surrender your head; give up your selfishness.
P0027L17,"Realizing the Shabad, one meets with the Lord, and all one's service is accepted."
P0027L18,"By personally experiencing the Personality of the Guru, one's own personality is uplifted, and one's light merges into the Light."
P0027L19,Those who have such pre-ordained destiny come to meet the True Guru. ||4||
P0027L20,"O mind, don't cry out that you are hungry, always hungry; stop complaining."
P0027L21,The One who created the 8.4 million species of beings gives sustenance to all.
P0027L22,The Fearless Lord is forever Merciful; He takes care of all.
P0027L23,"O Nanak, the Gurmukh understands, and finds the Door of Liberation. ||5||3||36||"
P0027L24,"Siree Raag, Third Mehl:"
P0027L25,"Those who hear and believe, find the home of the self deep within."
P0027L26,"Through the Guru's Teachings, they praise the True Lord; they find the Lord, the Treasure of Excellence."
P0027L27,"Attuned to the Word of the Shabad, they are immaculate and pure. I am forever a sacrifice to them."
P0027L28,"Those people, within whose hearts the Lord abides, are radiant and enlightened. ||1||"
P0027L29,"O my mind, meditate on the Immaculate Lord, Har, Har."
P0027L30,Those whose have such pre-ordained destiny written on their foreheads-those Gurmukhs remain absorbed in the Lord's Love. ||1||Pause||
P0027L31,"O Saints, see clearly that the Lord is near at hand; He is pervading everywhere."
P0027L32,"Those who follow the Guru's Teachings realize Him, and see Him Ever-present."
P0027L33,He dwells forever in the minds of the virtuous. He is far removed from those worthless people who lack virtue.
P0027L34,"The self-willed manmukhs are totally without virtue. Without the Name, they die in frustration. ||2||"
P0027L35,"Those who hear and believe in the Word of the Guru's Shabad, meditate on the Lord in their minds."
P0027L36,"Night and day, they are steeped in devotion; their minds and bodies become pure."
P0027L37,"The color of the world is false and weak; when it washes away, people cry out in pain."
P0027L38,"Those who have the Radiant Light of the Naam within, become steady and stable, forever and ever. ||3||"
P0028L01,"The blessing of this human life has been obtained, but still, people do not lovingly focus their thoughts on the Name of the Lord."
P0028L02,"Their feet slip, and they cannot stay here any longer. And in the next world, they find no place of rest at all."
P0028L03,"This opportunity shall not come again. In the end, they depart, regretting and repenting."
P0028L04,Those whom the Lord blesses with His Glance of Grace are saved; they are lovingly attuned to the Lord. ||4||
P0028L05,"They all show off and pretend, but the self-willed manmukhs do not understand."
P0028L06,Those Gurmukhs who are pure of heart-their service is accepted.
P0028L07,"They sing the Glorious Praise of the Lord; they read about the Lord each day. Singing the Praise of the Lord, they merge in absorption."
